c,p,o,oLabel
http://www.wikidata.org/entity/Q122596317,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q108117266,fictional facility
http://www.wikidata.org/entity/Q122596505,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q108117266,fictional facility
http://www.wikidata.org/entity/Q122596735,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q108117266,fictional facility
http://www.wikidata.org/entity/Q122596957,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15709963,fictional hospital
http://www.wikidata.org/entity/Q122597354,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q111535061,fictional store
http://www.wikidata.org/entity/Q122597650,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q19826142,fictional shop
http://www.wikidata.org/entity/Q122597958,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q88675052,fictional palace
http://www.wikidata.org/entity/Q122598374,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q60875352,fictional residence
http://www.wikidata.org/entity/Q122598840,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122599113,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q82551938,fictional apartment
http://www.wikidata.org/entity/Q122599140,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122599152,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122599228,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q63341869,fictional farmhouse
http://www.wikidata.org/entity/Q122599287,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q58825140,fictional church
http://www.wikidata.org/entity/Q122599322,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122599381,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q21501360,fictional club
http://www.wikidata.org/entity/Q122599468,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122599559,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q108117266,fictional facility
http://www.wikidata.org/entity/Q122599686,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q111547268,fictional group of locations
http://www.wikidata.org/entity/Q122599738,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q82551938,fictional apartment
http://www.wikidata.org/entity/Q122599757,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q65153307,fictional high or secondary school
