name,wiki,file
M'Baku,M'Baku,m-baku.webp
Anton Vanko,Anton Vanko,anton-vanko.webp
Catherine Starr,Catherine Starr,catherine-starr.webp
Trevor Slattery,Trevor Slattery,trevor-slattery.webp
Iron Legion,Iron Legion,iron-legion.webp
Doris Toomes,Doris Toomes,doris-toomes.webp
Karen Page,Karen Page,karen-page.webp
Ned Leeds,Ned Leeds,ned-leeds.webp
Goose,Goose,goose.webp
Ava Starr,Ghost,ava-starr.webp
Sharon Carter,Power Broker,sharon-carter.webp
Erik Selvig,Erik Selvig,erik-selvig.webp
Darcy Lewis,Darcy Lewis,darcy-lewis.webp
Elihas Starr,Elihas Starr,elihas-starr.webp
Fandral,Fandral,fandral.webp
Gideon Malick,Gideon Malick,gideon-malick.webp
Arnim Zola,Arnim Zola,arnim-zola.webp
N'Jobu,N'Jobu,n-jobu.webp
Soren,Soren,soren.webp
Ramonda,Ramonda,ramonda.webp
Maria Stark,Maria Stark,maria-stark.webp
Cosmo,Cosmo the Spacedog,cosmo.webp
America Chavez,America Chavez,america-chavez.webp
Ben Grimm,Thing,ben-grimm.webp
Jimmy Woo,Jimmy Woo,jimmy-woo.webp
Ronan,Ronan the Accuser,ronan.webp
Carina,Carina,carina.webp
Meredith Quill,Meredith Quill,meredith-quill.webp
Frost Beasts,Frost Beasts,frost-beasts.webp
Ulysses Klaue,Ulysses Klaue,ulysses-klaue.webp
Joseph Danvers,Joseph Danvers,joseph-danvers.webp
Volstagg,Volstagg,volstagg.webp
Hogun,Hogun,hogun.webp
Brock Rumlow,Crossbones,brock-rumlow.webp
Frank Castle,Punisher,frank-castle.webp
Aldrich Killian,Aldrich Killian,aldrich-killian.webp
Destroyer,Destroyer,destroyer.webp
Yusuf Khan,Yusuf Khan,yusuf-khan.webp
Luis,Luis,luis.webp
Joaquín Torres,Falcon,joaqu-n-torres.webp
John Garrett,John Garrett,john-garrett.webp
Corvus Glaive,Corvus Glaive,corvus-glaive.webp
Christine Palmer,Christine Palmer,christine-palmer.webp
Leo Fitz,Leo Fitz,leo-fitz.webp
Cottonmouth,Cottonmouth,cottonmouth.webp
Betty Brant,Betty Brant,betty-brant.webp
John Walker,U.S. Agent,john-walker.webp
Bullseye,Bullseye,bullseye.webp
Wolfgang von Strucker,Baron Strucker,wolfgang-von-strucker.webp
Malekith,Malekith,malekith.webp
Deke Shaw,Deke Shaw,deke-shaw.webp
Bill Foster,Bill Foster,bill-foster.webp
Cindy Moon,Cindy Moon,cindy-moon.webp
Harley Keener,Harley Keener,harley-keener.webp
Bambi Arbogast,Bambi Arbogast,bambi-arbogast.webp
Jemma Simmons,Jemma Simmons,jemma-simmons.webp
Howard the Duck,Howard the Duck,howard-the-duck.webp
Raina,Raina,raina.webp
Dave,Dave,dave.webp
Korath,Korath the Pursuer,korath.webp
Cameron Klein,Cameron Klein,cameron-klein.webp
William Ginter Riva,William Ginter Riva,william-ginter-riva.webp
Betty Ross,Betty Ross,betty-ross.webp
Ho Yinsen,Ho Yinsen,ho-yinsen.webp
Blake Tower,Blake Tower,blake-tower.webp
Grant Ward,Grant Ward,grant-ward.webp
Irani Rael,Irani Rael,irani-rael.webp
Gale,Gale,gale.webp
Ivan Vanko,Whiplash,ivan-vanko.webp
Maggie Grace,Maggie Grace,maggie-grace.webp
Wiccan,Wiccan,wiccan.webp
Surtur,Surtur,surtur.webp
Alexander Pierce,Alexander Pierce,alexander-pierce.webp
Christine Everhart,Christine Everhart,christine-everhart.webp
Darren Cross,M.O.D.O.K.,darren-cross.webp
Elektra,Elektra,elektra.webp
Jack Rollins,Jack Rollins,jack-rollins.webp
Sally Avril,Sally Avril,sally-avril.webp
Daniel Sousa,Daniel Sousa,daniel-sousa.webp
Julius Dell,Julius Dell,julius-dell.webp
Reed Richards,Mister Fantastic,reed-richards.webp
Maria Rambeau,Maria Rambeau,maria-rambeau.webp
Mac Gargan,Scorpion,mac-gargan.webp
Flash Thompson,Flash Thompson,flash-thompson.webp
Stick,Stick,stick.webp
Ajak,Ajak,ajak.webp
Quentin Beck,Mysterio,quentin-beck.webp
Chad Davis,Chad Davis,chad-davis.webp
Makkari,Makkari,makkari.webp
Dale,Dale,dale.webp
Asgardian Horses,Asgardian Horses,asgardian-horses.webp
Edwin Jarvis,Edwin Jarvis,edwin-jarvis.webp
Herman Schultz,Shocker,herman-schultz.webp
Justin Hammer,Justin Hammer,justin-hammer.webp
Mrs. Davis,Mrs. Davis,mrs-davis.webp
Jason Ionello,Jason Ionello,jason-ionello.webp
Zuri,Zuri,zuri.webp
Nakia,Nakia,nakia.webp
Mitchell Carson,Mitchell Carson,mitchell-carson.webp
Fine,Fine,fine.webp
Yasmin Monette,Yasmin Monette,yasmin-monette.webp
Aaron Davis,Prowler,aaron-davis.webp
Heather Glenn,Heather Glenn,heather-glenn.webp
Ben Urich,Ben Urich,ben-urich.webp
Zrinka,Zrinka,zrinka.webp
Abu Bakaar,Abu Bakaar,abu-bakaar.webp
Georgi Luchkov,Georgi Luchkov,georgi-luchkov.webp
Ironette Dancers,Ironette Dancers,ironette-dancers.webp
Maya Hansen,Maya Hansen,maya-hansen.webp
Gef,Gef,gef.webp
Ramirez,Ramirez,ramirez.webp
Eric Savin,Eric Savin,eric-savin.webp
Obadiah Stane,Iron Monger,obadiah-stane.webp
Mary Walker,Mary Walker,mary-walker.webp
Samuel Sterns,Leader,samuel-sterns.webp
Daniel Drumm,Daniel Drumm,daniel-drumm.webp
Burleigh,Burleigh,burleigh.webp
Kurse,Kurse,kurse.webp
Melinda May,Melinda May,melinda-may.webp
J. Jonah Jameson,J. Jonah Jameson,j-jonah-jameson.webp
Josef,Josef,josef.webp
Navid,Navid,navid.webp
Zylak,Zylak,zylak.webp
Beerbot 5000,Beerbot 5000,beerbot-5000.webp
W'Kabi,W'Kabi,w-kabi.webp
Stakar Ogord,Stakar Ogord,stakar-ogord.webp
Huhtar,Huhtar,huhtar.webp
Connie,Connie,connie.webp
Ahmed,Ahmed,ahmed.webp
Isabela Alvarez,Isabela Alvarez,isabela-alvarez.webp
Topaz,Topaz,topaz.webp
Jacques Dernier,Jacques Dernier,jacques-dernier.webp
Chester Phillips,Chester Phillips,chester-phillips.webp
Gilmore Hodge,Gilmore Hodge,gilmore-hodge.webp
